ratio,method,OA_mean,OA_std,,,macro_F1_mean,macro_F1_std,kappa_mean,kappa_std
0.01,A*: Global TruncSVD (Centered),0.3603,0.1151,0.2825,0.0904,0.2286,0.0817,0.194,0.13
0.01,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.5042,0.1143,0.4249,0.0876,0.3553,0.0875,0.3743,0.1371
0.01,A2: Global TruncSVD (SNV-Pre),0.5539,0.1174,0.4576,0.0921,0.3925,0.0926,0.4344,0.142
0.01,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.4619,0.0969,0.3971,0.08,0.319,0.0785,0.3212,0.1174
0.01,A3: Global TruncSVD (MSC-Pre),0.4964,0.0795,0.4219,0.0704,0.3472,0.0656,0.3631,0.0949
0.01,A: Global TruncSVD,0.5965,0.1151,0.4767,0.0972,0.4187,0.0993,0.482,0.1406
0.01,A_L2: L2 row norm (no SNV),0.6183,0.0996,0.5009,0.0874,0.4363,0.0917,0.5053,0.1305
0.01,A_drop1: Drop PC1 (PC2–PC20),0.5665,0.1105,0.4292,0.0951,0.3844,0.0934,0.4326,0.1381
0.01,A_drop1_scale: Drop PC1 + Scale (no SNV),0.5282,0.0864,0.4086,0.074,0.3622,0.0658,0.383,0.1116
0.01,F: PLS-DA,0.5544,0.0881,0.4371,0.0614,0.3756,0.0672,0.4239,0.108
0.1,A*: Global TruncSVD (Centered),0.5507,0.1244,0.5258,0.1153,0.5142,0.116,0.4368,0.1406
0.1,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.6377,0.1319,0.6685,0.1113,0.6155,0.1281,0.5588,0.1566
0.1,A2: Global TruncSVD (SNV-Pre),0.6825,0.1214,0.6921,0.1118,0.6513,0.1256,0.6122,0.1426
0.1,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.5934,0.096,0.6373,0.0937,0.5561,0.1025,0.5073,0.113
0.1,A3: Global TruncSVD (MSC-Pre),0.5946,0.11,0.6324,0.1025,0.5583,0.1153,0.509,0.1264
0.1,A: Global TruncSVD,0.777,0.0889,0.7548,0.0953,0.7418,0.0965,0.7199,0.1096
0.1,A_L2: L2 row norm (no SNV),0.7678,0.1016,0.7539,0.0929,0.7409,0.1051,0.7109,0.122
0.1,A_drop1: Drop PC1 (PC2–PC20),0.7664,0.1022,0.7239,0.1032,0.7167,0.1091,0.705,0.1261
0.1,A_drop1_scale: Drop PC1 + Scale (no SNV),0.6416,0.1097,0.5836,0.1134,0.5757,0.1224,0.54,0.1398
0.1,F: PLS-DA,0.6808,0.0839,0.6456,0.0844,0.603,0.1004,0.5995,0.1046
0.15,A*: Global TruncSVD (Centered),0.6428,0.0993,0.62,0.103,0.6165,0.0995,0.5514,0.1177
0.15,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.7189,0.0893,0.7465,0.0845,0.7002,0.0914,0.656,0.1072
0.15,A2: Global TruncSVD (SNV-Pre),0.7667,0.0806,0.7783,0.0828,0.7404,0.0922,0.713,0.0961
