condition,method,classifier,OA_mean,OA_std,F1_mean,F1_std,k_mean,k_std
Clear,Detrend,rbf_svm,0.8287,0.0591,0.8028,0.0805,0.7830,0.0759
Clear,Detrend,rf,0.9292,0.0452,0.9162,0.0692,0.9110,0.0570
Clear,Detrend,svm,0.8554,0.0507,0.8343,0.0686,0.8177,0.0643
Clear,EMSC,rbf_svm,0.9138,0.0418,0.9124,0.0575,0.8924,0.0525
Clear,EMSC,rf,0.9303,0.0429,0.9186,0.0505,0.9126,0.0537
Clear,EMSC,svm,0.9128,0.0377,0.9213,0.0328,0.8921,0.0462
Clear,SG1,rbf_svm,0.8246,0.0613,0.8084,0.0812,0.7777,0.0786
Clear,SG1,rf,0.8882,0.0479,0.8715,0.0640,0.8589,0.0610
Clear,SG1,svm,0.8441,0.0554,0.8157,0.0832,0.8029,0.0701
Clear,SNV,rbf_svm,0.9190,0.0403,0.9277,0.0376,0.8984,0.0505
Clear,SNV,rf,0.9087,0.0534,0.8979,0.0623,0.8852,0.0674
Clear,SNV,svm,0.9241,0.0395,0.9260,0.0462,0.9059,0.0484
Clear,USP,rbf_svm,0.9313,0.0390,0.9286,0.0532,0.9144,0.0483
Clear,USP,rf,0.9015,0.0562,0.8916,0.0721,0.8763,0.0709
Clear,USP,svm,0.9579,0.0313,0.9518,0.0396,0.9476,0.0389
Clear+BandShift,Detrend,rbf_svm,0.3692,0.0355,0.2278,0.0271,0.2358,0.0400
Clear+BandShift,Detrend,rf,0.8677,0.0375,0.8087,0.0703,0.8331,0.0481
Clear+BandShift,Detrend,svm,0.3179,0.0725,0.1500,0.0661,0.1074,0.1213
Clear+BandShift,EMSC,rbf_svm,0.6759,0.0976,0.5630,0.0950,0.5790,0.1320
Clear+BandShift,EMSC,rf,0.8441,0.0485,0.7942,0.0651,0.8027,0.0610
Clear+BandShift,EMSC,svm,0.7446,0.0785,0.7097,0.1162,0.6865,0.0951
Clear+BandShift,SG1,rbf_svm,0.1918,0.0356,0.0985,0.0272,0.0599,0.0361
Clear+BandShift,SG1,rf,0.6226,0.0742,0.5141,0.0707,0.5219,0.0912
Clear+BandShift,SG1,svm,0.2636,0.0704,0.0930,0.0541,0.0064,0.1176
Clear+BandShift,SNV,rbf_svm,0.3744,0.0462,0.2154,0.0609,0.1429,0.0701
Clear+BandShift,SNV,rf,0.8503,0.0622,0.7991,0.0914,0.8107,0.0787
Clear+BandShift,SNV,svm,0.6738,0.0753,0.5549,0.1087,0.5990,0.0906
Clear+BandShift,USP,rbf_svm,0.9262,0.0380,0.9220,0.0519,0.9080,0.0471
Clear+BandShift,USP,rf,0.9026,0.0578,0.8953,0.0680,0.8782,0.0722
Clear+BandShift,USP,svm,0.9559,0.0335,0.9498,0.0410,0.9450,0.0416
Foamy,Detrend,rbf_svm,0.8336,0.0435,0.7545,0.0752,0.7832,0.0573
Foamy,Detrend,rf,0.9072,0.0369,0.8798,0.0553,0.8787,0.0486
Foamy,Detrend,svm,0.8328,0.0476,0.7513,0.0799,0.7853,0.0606
Foamy,EMSC,rbf_svm,0.8960,0.0408,0.8849,0.0554,0.8636,0.0541
Foamy,EMSC,rf,0.8960,0.0428,0.8747,0.0480,0.8644,0.0562
Foamy,EMSC,svm,0.8768,0.0415,0.8451,0.0476,0.8417,0.0534
Foamy,SG1,rbf_svm,0.8600,0.0473,0.7902,0.0693,0.8168,0.0622
Foamy,SG1,rf,0.9144,0.0319,0.8736,0.0654,0.8880,0.0423
Foamy,SG1,svm,0.8440,0.0379,0.7748,0.0685,0.7990,0.0484
Foamy,SNV,rbf_svm,0.8888,0.0451,0.8578,0.0668,0.8543,0.0599
Foamy,SNV,rf,0.8952,0.0421,0.8722,0.0574,0.8630,0.0557
Foamy,SNV,svm,0.8680,0.0476,0.8285,0.0633,0.8307,0.0608
Foamy,USP,rbf_svm,0.9096,0.0421,0.8873,0.0652,0.8820,0.0555
Foamy,USP,rf,0.8880,0.0404,0.8536,0.0610,0.8534,0.0531
Foamy,USP,svm,0.9320,0.0346,0.9142,0.0452,0.9118,0.0449
Turbid,Detrend,rbf_svm,0.8973,0.0284,0.9049,0.0252,0.8748,0.0347
Turbid,Detrend,rf,0.9420,0.0203,0.9433,0.0187,0.9294,0.0248
Turbid,Detrend,svm,0.9197,0.0207,0.9202,0.0203,0.9021,0.0252
Turbid,EMSC,rbf_svm,0.9430,0.0218,0.9453,0.0213,0.9305,0.0266
Turbid,EMSC,rf,0.9455,0.0193,0.9461,0.0209,0.9334,0.0236
Turbid,EMSC,svm,0.9622,0.0140,0.9618,0.0157,0.9539,0.0171
Turbid,SG1,rbf_svm,0.9011,0.0246,0.9072,0.0229,0.8794,0.0299
Turbid,SG1,rf,0.9502,0.0174,0.9512,0.0166,0.9393,0.0212
Turbid,SG1,svm,0.9301,0.0222,0.9325,0.0207,0.9148,0.0270
Turbid,SNV,rbf_svm,0.9496,0.0220,0.9510,0.0213,0.9385,0.0269
Turbid,SNV,rf,0.9524,0.0233,0.9543,0.0227,0.9419,0.0286
Turbid,SNV,svm,0.9575,0.0165,0.9590,0.0166,0.9482,0.0202
Turbid,USP,rbf_svm,0.9594,0.0219,0.9615,0.0203,0.9506,0.0266
Turbid,USP,rf,0.9263,0.0271,0.9293,0.0269,0.9099,0.0331
Turbid,USP,svm,0.9710,0.0134,0.9734,0.0131,0.9647,0.0163
