ratio,method,classifier,OA_mean,OA_std,macro_F1_mean,macro_F1_std,kappa_mean,kappa_std
0.1000,Detrend,rbf_svm,0.4829,0.0595,0.3023,0.0597,0.2948,0.0832
0.1000,Detrend,svm,0.6633,0.1003,0.5818,0.1284,0.5673,0.1292
0.1000,EMSC,rbf_svm,0.5344,0.0951,0.4409,0.1176,0.3845,0.1315
0.1000,EMSC,svm,0.6369,0.1208,0.6002,0.1272,0.5580,0.1450
0.1000,SG1,rbf_svm,0.5202,0.0727,0.3434,0.0873,0.3480,0.1002
0.1000,SG1,svm,0.6766,0.0989,0.5991,0.1245,0.5830,0.1259
0.1000,SNV,rbf_svm,0.5563,0.0836,0.4481,0.1130,0.4080,0.1142
0.1000,SNV,svm,0.6367,0.1305,0.6146,0.1269,0.5575,0.1550
0.1000,USP,rbf_svm,0.7066,0.1083,0.6739,0.1113,0.6362,0.1311
0.1000,USP,svm,0.7770,0.0889,0.7418,0.0965,0.7199,0.1096
0.3000,Detrend,rbf_svm,0.6488,0.0745,0.5568,0.1030,0.5425,0.1020
0.3000,Detrend,svm,0.7287,0.0766,0.6695,0.1059,0.6550,0.0970
0.3000,EMSC,rbf_svm,0.7886,0.0593,0.7514,0.0743,0.7318,0.0759
0.3000,EMSC,svm,0.8070,0.0815,0.7971,0.0791,0.7626,0.0983
0.3000,SG1,rbf_svm,0.6677,0.0740,0.5806,0.1038,0.5657,0.1004
0.3000,SG1,svm,0.7495,0.0649,0.6906,0.0865,0.6810,0.0822
0.3000,SNV,rbf_svm,0.8128,0.0640,0.7862,0.0753,0.7599,0.0835
0.3000,SNV,svm,0.8341,0.0648,0.8317,0.0595,0.7941,0.0791
0.3000,USP,rbf_svm,0.8704,0.0663,0.8541,0.0676,0.8383,0.0812
0.3000,USP,svm,0.9273,0.0402,0.9197,0.0408,0.9088,0.0504
1.0000,Detrend,rbf_svm,0.8445,0.0722,0.8209,0.0897,0.8025,0.0920
1.0000,Detrend,svm,0.8527,0.0509,0.8338,0.0555,0.8135,0.0647
1.0000,EMSC,rbf_svm,0.9212,0.0435,0.9239,0.0434,0.9016,0.0536
1.0000,EMSC,svm,0.9150,0.0493,0.9214,0.0452,0.8945,0.0605
1.0000,SG1,rbf_svm,0.8301,0.0715,0.8234,0.0775,0.7842,0.0910
1.0000,SG1,svm,0.8498,0.0621,0.8253,0.0734,0.8098,0.0787
1.0000,SNV,rbf_svm,0.9359,0.0323,0.9424,0.0311,0.9193,0.0406
1.0000,SNV,svm,0.9307,0.0403,0.9315,0.0431,0.9135,0.0502
1.0000,USP,rbf_svm,0.9420,0.0281,0.9405,0.0320,0.9274,0.0350
1.0000,USP,svm,0.9690,0.0246,0.9654,0.0305,0.9612,0.0308
