method,classifier,OA_mean,OA_std,macro_F1_mean,macro_F1_std,kappa_mean,kappa_std
Detrend,rbf_svm,0.3462,0.0436,0.2173,0.0303,0.2143,0.0530
Detrend,svm,0.3386,0.0876,0.1795,0.0934,0.1393,0.1334
EMSC,rbf_svm,0.7029,0.1093,0.5938,0.1048,0.6138,0.1458
EMSC,svm,0.7440,0.0732,0.7316,0.0783,0.6861,0.0870
SG1,rbf_svm,0.1761,0.0413,0.0901,0.0350,0.0514,0.0407
SG1,svm,0.2497,0.0400,0.0749,0.0327,-0.0211,0.0745
SNV,rbf_svm,0.3709,0.0427,0.2221,0.0510,0.1411,0.0632
SNV,svm,0.6869,0.0875,0.5762,0.1179,0.6139,0.1058
USP,rbf_svm,0.9399,0.0296,0.9400,0.0324,0.9247,0.0369
USP,svm,0.9648,0.0288,0.9621,0.0327,0.9560,0.0360
