seed,fold,ratio,method,classifier,condition,OA,macro_F1,kappa
42,0,1.000000,USP,svm,Normal,0.974359,0.979243,0.967635
42,0,1.000000,USP,svm,BandShift,0.974359,0.979243,0.967635
42,0,1.000000,USP,rbf_svm,Normal,0.974359,0.979243,0.967635
42,0,1.000000,USP,rbf_svm,BandShift,0.974359,0.979243,0.967635
42,0,1.000000,SNV,svm,Normal,0.974359,0.979243,0.967635
42,0,1.000000,SNV,svm,BandShift,0.692308,0.561237,0.616393
42,0,1.000000,SNV,rbf_svm,Normal,0.974359,0.979243,0.967635
42,0,1.000000,SNV,rbf_svm,BandShift,0.435897,0.277778,0.235294
42,0,1.000000,SG1,svm,Normal,0.897436,0.910007,0.870861
42,0,1.000000,SG1,svm,BandShift,0.230769,0.062500,-0.058824
42,0,1.000000,SG1,rbf_svm,Normal,0.820513,0.862201,0.772689
42,0,1.000000,SG1,rbf_svm,BandShift,0.230769,0.131624,0.097222
42,0,1.000000,EMSC,svm,Normal,0.948718,0.946703,0.935697
42,0,1.000000,EMSC,svm,BandShift,0.794872,0.726390,0.743842
42,0,1.000000,EMSC,rbf_svm,Normal,0.974359,0.979243,0.967635
42,0,1.000000,EMSC,rbf_svm,BandShift,0.794872,0.654921,0.735144
42,0,1.000000,Detrend,svm,Normal,0.846154,0.846436,0.805648
42,0,1.000000,Detrend,svm,BandShift,0.205128,0.056738,-0.091155
42,0,1.000000,Detrend,rbf_svm,Normal,0.846154,0.879745,0.805162
42,0,1.000000,Detrend,rbf_svm,BandShift,0.256410,0.153186,0.106635
42,1,1.000000,USP,svm,Normal,0.948718,0.952277,0.935377
42,1,1.000000,USP,svm,BandShift,0.948718,0.952277,0.935377
42,1,1.000000,USP,rbf_svm,Normal,0.923077,0.913245,0.904020
42,1,1.000000,USP,rbf_svm,BandShift,0.923077,0.913245,0.904020
42,1,1.000000,SNV,svm,Normal,0.897436,0.894901,0.872445
42,1,1.000000,SNV,svm,BandShift,0.846154,0.792845,0.807724
42,1,1.000000,SNV,rbf_svm,Normal,0.871795,0.882371,0.839770
42,1,1.000000,SNV,rbf_svm,BandShift,0.384615,0.222896,0.162041
42,1,1.000000,SG1,svm,Normal,0.846154,0.786790,0.805648
42,1,1.000000,SG1,svm,BandShift,0.230769,0.062500,-0.069470
42,1,1.000000,SG1,rbf_svm,Normal,0.794872,0.771703,0.742149
42,1,1.000000,SG1,rbf_svm,BandShift,0.179487,0.088269,0.045872
42,1,1.000000,EMSC,svm,Normal,0.923077,0.942857,0.904412
42,1,1.000000,EMSC,svm,BandShift,0.846154,0.843711,0.808667
42,1,1.000000,EMSC,rbf_svm,Normal,0.897436,0.888537,0.870861
42,1,1.000000,EMSC,rbf_svm,BandShift,0.769231,0.660053,0.702037
42,1,1.000000,Detrend,svm,Normal,0.794872,0.757372,0.741508
42,1,1.000000,Detrend,svm,BandShift,0.512821,0.223211,0.334232
42,1,1.000000,Detrend,rbf_svm,Normal,0.769231,0.754170,0.708955
42,1,1.000000,Detrend,rbf_svm,BandShift,0.282051,0.164474,0.131955
42,2,1.000000,USP,svm,Normal,0.923077,0.912217,0.904568
42,2,1.000000,USP,svm,BandShift,0.923077,0.912217,0.904568
42,2,1.000000,USP,rbf_svm,Normal,0.897436,0.888889,0.871816
42,2,1.000000,USP,rbf_svm,BandShift,0.897436,0.888889,0.871816
42,2,1.000000,SNV,svm,Normal,0.948718,0.955514,0.936327
42,2,1.000000,SNV,svm,BandShift,0.564103,0.414719,0.464459
42,2,1.000000,SNV,rbf_svm,Normal,0.897436,0.914174,0.870000
42,2,1.000000,SNV,rbf_svm,BandShift,0.333333,0.171627,0.081522
42,2,1.000000,SG1,svm,Normal,0.897436,0.880849,0.870647
42,2,1.000000,SG1,svm,BandShift,0.256410,0.068027,-0.034767
42,2,1.000000,SG1,rbf_svm,Normal,0.871795,0.878810,0.838308
42,2,1.000000,SG1,rbf_svm,BandShift,0.179487,0.094017,0.042210
42,2,1.000000,EMSC,svm,Normal,0.948718,0.955514,0.936327
42,2,1.000000,EMSC,svm,BandShift,0.666667,0.679673,0.598257
42,2,1.000000,EMSC,rbf_svm,Normal,0.923077,0.942963,0.902985
42,2,1.000000,EMSC,rbf_svm,BandShift,0.435897,0.335930,0.244053
42,2,1.000000,Detrend,svm,Normal,0.974359,0.978408,0.967980
42,2,1.000000,Detrend,svm,BandShift,0.410256,0.337471,0.255602
