condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
Clear,USP,0,42,none,A_postSNV,svm,0.948718,0.946703,0.935644
Clear+BandShift,USP,0,42,none,A_postSNV,svm,0.948718,0.946703,0.935644
Clear,USP,0,42,none,A_postSNV,rbf_svm,0.897436,0.883139,0.871181
Clear+BandShift,USP,0,42,none,A_postSNV,rbf_svm,0.871795,0.862626,0.839506
Clear,USP,0,42,none,A_postSNV,rf,0.846154,0.817316,0.805970
Clear+BandShift,USP,0,42,none,A_postSNV,rf,0.897436,0.867693,0.872340
Clear,SNV,0,42,SNV,A2_noPostSNV,svm,0.897436,0.901942,0.872445
Clear+BandShift,SNV,0,42,SNV,A2_noPostSNV,svm,0.487179,0.323810,0.379475
Clear,SNV,0,42,SNV,A2_noPostSNV,rbf_svm,0.871795,0.900625,0.838710
Clear+BandShift,SNV,0,42,SNV,A2_noPostSNV,rbf_svm,0.307692,0.130385,0.040984
Clear,SNV,0,42,SNV,A2_noPostSNV,rf,0.846154,0.825736,0.804020
Clear+BandShift,SNV,0,42,SNV,A2_noPostSNV,rf,0.769231,0.654858,0.707012
Clear,SG1,0,42,SG1,A2_noPostSNV,svm,0.820513,0.810237,0.771739
Clear+BandShift,SG1,0,42,SG1,A2_noPostSNV,svm,0.282051,0.163420,0.040422
Clear,SG1,0,42,SG1,A2_noPostSNV,rbf_svm,0.717949,0.711844,0.646040
Clear+BandShift,SG1,0,42,SG1,A2_noPostSNV,rbf_svm,0.205128,0.108333,0.071429
Clear,SG1,0,42,SG1,A2_noPostSNV,rf,0.846154,0.819409,0.804674
Clear+BandShift,SG1,0,42,SG1,A2_noPostSNV,rf,0.666667,0.533651,0.573950
Clear,EMSC,0,42,EMSC,A2_noPostSNV,svm,0.897436,0.915751,0.871393
Clear+BandShift,EMSC,0,42,EMSC,A2_noPostSNV,svm,0.589744,0.425817,0.492683
Clear,EMSC,0,42,EMSC,A2_noPostSNV,rbf_svm,0.897436,0.909187,0.872131
Clear+BandShift,EMSC,0,42,EMSC,A2_noPostSNV,rbf_svm,0.538462,0.486508,0.393782
Clear,EMSC,0,42,EMSC,A2_noPostSNV,rf,0.948718,0.947352,0.935590
Clear+BandShift,EMSC,0,42,EMSC,A2_noPostSNV,rf,0.871795,0.838588,0.838442
Clear,Detrend,0,42,Detrend,A2_noPostSNV,svm,0.846154,0.834243,0.805486
Clear+BandShift,Detrend,0,42,Detrend,A2_noPostSNV,svm,0.307692,0.143056,0.049639
Clear,Detrend,0,42,Detrend,A2_noPostSNV,rbf_svm,0.769231,0.756736,0.709677
Clear+BandShift,Detrend,0,42,Detrend,A2_noPostSNV,rbf_svm,0.333333,0.192830,0.184887
Clear,Detrend,0,42,Detrend,A2_noPostSNV,rf,0.846154,0.819409,0.804674
Clear+BandShift,Detrend,0,42,Detrend,A2_noPostSNV,rf,0.820513,0.752742,0.772310
Clear,USP,1,43,none,A_postSNV,svm,0.897436,0.844605,0.871605
Clear+BandShift,USP,1,43,none,A_postSNV,svm,0.923077,0.872871,0.903226
Clear,USP,1,43,none,A_postSNV,rbf_svm,0.820513,0.724556,0.777868
Clear+BandShift,USP,1,43,none,A_postSNV,rbf_svm,0.846154,0.741651,0.808667
Clear,USP,1,43,none,A_postSNV,rf,0.846154,0.730087,0.806131
Clear+BandShift,USP,1,43,none,A_postSNV,rf,0.897436,0.883261,0.871181
Clear,SNV,1,43,SNV,A2_noPostSNV,svm,0.820513,0.765476,0.779483
Clear+BandShift,SNV,1,43,SNV,A2_noPostSNV,svm,0.743590,0.624008,0.682410
Clear,SNV,1,43,SNV,A2_noPostSNV,rbf_svm,0.897436,0.904434,0.870861
Clear+BandShift,SNV,1,43,SNV,A2_noPostSNV,rbf_svm,0.461538,0.293651,0.268750
Clear,SNV,1,43,SNV,A2_noPostSNV,rf,0.794872,0.747471,0.744472
Clear+BandShift,SNV,1,43,SNV,A2_noPostSNV,rf,0.717949,0.625871,0.650367
Clear,SG1,1,43,SG1,A2_noPostSNV,svm,0.743590,0.630983,0.672269
Clear+BandShift,SG1,1,43,SG1,A2_noPostSNV,svm,0.333333,0.164815,0.104240
Clear,SG1,1,43,SG1,A2_noPostSNV,rbf_svm,0.794872,0.698429,0.735369
Clear+BandShift,SG1,1,43,SG1,A2_noPostSNV,rbf_svm,0.179487,0.090965,0.050228
Clear,SG1,1,43,SG1,A2_noPostSNV,rf,0.794872,0.689069,0.736709
Clear+BandShift,SG1,1,43,SG1,A2_noPostSNV,rf,0.564103,0.416667,0.434300
Clear,EMSC,1,43,EMSC,A2_noPostSNV,svm,0.897436,0.909848,0.873274
Clear+BandShift,EMSC,1,43,EMSC,A2_noPostSNV,svm,0.769231,0.785155,0.720096
