phase,condition,method,classifier,OA_mean,OA_std,F1_mean,F1_std,k_mean,k_std
1,Pooled,Detrend,rbf_svm,0.6646,0.0851,0.6653,0.0858,0.5978,0.1018
1,Pooled,Detrend,svm,0.7334,0.0660,0.7336,0.0670,0.6801,0.0789
1,Pooled,EMSC,rbf_svm,0.6323,0.0663,0.6436,0.0631,0.5588,0.0799
1,Pooled,EMSC,svm,0.7054,0.0785,0.7070,0.0785,0.6463,0.0940
1,Pooled,SG1,rbf_svm,0.6728,0.0853,0.6784,0.0816,0.6076,0.1022
1,Pooled,SG1,svm,0.7377,0.0751,0.7382,0.0748,0.6854,0.0898
1,Pooled,SNV,rbf_svm,0.6855,0.0745,0.6895,0.0725,0.6227,0.0893
1,Pooled,SNV,svm,0.7162,0.0776,0.7170,0.0789,0.6593,0.0930
1,Pooled,USP,rbf_svm,0.5946,0.0733,0.5969,0.0712,0.5135,0.0879
1,Pooled,USP,svm,0.7324,0.0794,0.7351,0.0779,0.6791,0.0948
1,Pooled+BandShift,Detrend,rbf_svm,0.6152,0.0796,0.6136,0.0805,0.5385,0.0952
1,Pooled+BandShift,Detrend,svm,0.6497,0.0873,0.6480,0.0930,0.5796,0.1043
1,Pooled+BandShift,EMSC,rbf_svm,0.5863,0.0807,0.5950,0.0835,0.5037,0.0972
1,Pooled+BandShift,EMSC,svm,0.6296,0.0775,0.6247,0.0798,0.5554,0.0928
1,Pooled+BandShift,SG1,rbf_svm,0.3901,0.0494,0.3615,0.0594,0.2687,0.0591
1,Pooled+BandShift,SG1,svm,0.3991,0.0657,0.3651,0.0673,0.2789,0.0784
1,Pooled+BandShift,SNV,rbf_svm,0.6620,0.0728,0.6650,0.0732,0.5944,0.0872
1,Pooled+BandShift,SNV,svm,0.6621,0.0739,0.6658,0.0726,0.5943,0.0886
1,Pooled+BandShift,USP,rbf_svm,0.5874,0.0705,0.5898,0.0689,0.5049,0.0846
1,Pooled+BandShift,USP,svm,0.7181,0.0759,0.7179,0.0759,0.6617,0.0906
2,Bu5,Detrend,rbf_svm,0.5956,0.1691,0.5154,0.1986,0.5145,0.1974
2,Bu5,Detrend,svm,0.6806,0.1290,0.6273,0.1492,0.6139,0.1545
2,Bu5,EMSC,rbf_svm,0.6789,0.1641,0.6173,0.1991,0.6129,0.1910
2,Bu5,EMSC,svm,0.6989,0.1345,0.6409,0.1580,0.6353,0.1616
