phase,condition,method,repeat,seed,fold,preprocess,variant,classifier,OA,macro_F1,kappa
1,Pooled,USP,0,42,0.000000,none,A_postSNV,svm,0.800000,0.796367,0.760213
1,Pooled+BandShift,USP,0,42,0.000000,none,A_postSNV,svm,0.755556,0.752448,0.707620
1,Pooled,USP,0,42,0.000000,none,A_postSNV,rbf_svm,0.644444,0.637356,0.574468
1,Pooled+BandShift,USP,0,42,0.000000,none,A_postSNV,rbf_svm,0.644444,0.637356,0.574468
1,Pooled,SNV,0,42,0.000000,SNV,A2_noPostSNV,svm,0.733333,0.738348,0.680095
1,Pooled+BandShift,SNV,0,42,0.000000,SNV,A2_noPostSNV,svm,0.644444,0.645024,0.574719
1,Pooled,SNV,0,42,0.000000,SNV,A2_noPostSNV,rbf_svm,0.711111,0.701454,0.653846
1,Pooled+BandShift,SNV,0,42,0.000000,SNV,A2_noPostSNV,rbf_svm,0.688889,0.681748,0.627219
1,Pooled,SG1,0,42,0.000000,SG1,A2_noPostSNV,svm,0.755556,0.752564,0.707274
1,Pooled+BandShift,SG1,0,42,0.000000,SG1,A2_noPostSNV,svm,0.333333,0.288889,0.195471
1,Pooled,SG1,0,42,0.000000,SG1,A2_noPostSNV,rbf_svm,0.666667,0.658412,0.601535
1,Pooled+BandShift,SG1,0,42,0.000000,SG1,A2_noPostSNV,rbf_svm,0.422222,0.393759,0.311360
1,Pooled,EMSC,0,42,0.000000,EMSC,A2_noPostSNV,svm,0.688889,0.691087,0.627660
1,Pooled+BandShift,EMSC,0,42,0.000000,EMSC,A2_noPostSNV,svm,0.666667,0.663033,0.600592
1,Pooled,EMSC,0,42,0.000000,EMSC,A2_noPostSNV,rbf_svm,0.644444,0.663424,0.573712
1,Pooled+BandShift,EMSC,0,42,0.000000,EMSC,A2_noPostSNV,rbf_svm,0.555556,0.560023,0.467456
1,Pooled,Detrend,0,42,0.000000,Detrend,A2_noPostSNV,svm,0.711111,0.709509,0.653846
1,Pooled+BandShift,Detrend,0,42,0.000000,Detrend,A2_noPostSNV,svm,0.644444,0.635307,0.574216
1,Pooled,Detrend,0,42,0.000000,Detrend,A2_noPostSNV,rbf_svm,0.666667,0.662947,0.601064
1,Pooled+BandShift,Detrend,0,42,0.000000,Detrend,A2_noPostSNV,rbf_svm,0.622222,0.622513,0.547872
1,Pooled,USP,1,42,1.000000,none,A_postSNV,svm,0.755556,0.765062,0.706580
1,Pooled+BandShift,USP,1,42,1.000000,none,A_postSNV,svm,0.711111,0.711093,0.653231
1,Pooled,USP,1,42,1.000000,none,A_postSNV,rbf_svm,0.577778,0.594720,0.492582
1,Pooled+BandShift,USP,1,42,1.000000,none,A_postSNV,rbf_svm,0.577778,0.594720,0.492582
1,Pooled,SNV,1,42,1.000000,SNV,A2_noPostSNV,svm,0.755556,0.753871,0.706927
1,Pooled+BandShift,SNV,1,42,1.000000,SNV,A2_noPostSNV,svm,0.733333,0.719748,0.680473
1,Pooled,SNV,1,42,1.000000,SNV,A2_noPostSNV,rbf_svm,0.688889,0.690503,0.626335
1,Pooled+BandShift,SNV,1,42,1.000000,SNV,A2_noPostSNV,rbf_svm,0.666667,0.685528,0.599644
1,Pooled,SG1,1,42,1.000000,SG1,A2_noPostSNV,svm,0.755556,0.755960,0.706754
1,Pooled+BandShift,SG1,1,42,1.000000,SG1,A2_noPostSNV,svm,0.444444,0.416931,0.327957
1,Pooled,SG1,1,42,1.000000,SG1,A2_noPostSNV,rbf_svm,0.711111,0.717717,0.653641
1,Pooled+BandShift,SG1,1,42,1.000000,SG1,A2_noPostSNV,rbf_svm,0.444444,0.376158,0.327555
1,Pooled,EMSC,1,42,1.000000,EMSC,A2_noPostSNV,svm,0.755556,0.733330,0.707101
1,Pooled+BandShift,EMSC,1,42,1.000000,EMSC,A2_noPostSNV,svm,0.666667,0.616686,0.600592
1,Pooled,EMSC,1,42,1.000000,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.687269,0.599881
1,Pooled+BandShift,EMSC,1,42,1.000000,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.692269,0.599169
1,Pooled,Detrend,1,42,1.000000,Detrend,A2_noPostSNV,svm,0.733333,0.729960,0.680095
1,Pooled+BandShift,Detrend,1,42,1.000000,Detrend,A2_noPostSNV,svm,0.733333,0.725350,0.680473
1,Pooled,Detrend,1,42,1.000000,Detrend,A2_noPostSNV,rbf_svm,0.688889,0.697884,0.626556
1,Pooled+BandShift,Detrend,1,42,1.000000,Detrend,A2_noPostSNV,rbf_svm,0.600000,0.617595,0.520426
1,Pooled,USP,2,42,2.000000,none,A_postSNV,svm,0.681818,0.685341,0.619518
1,Pooled+BandShift,USP,2,42,2.000000,none,A_postSNV,svm,0.704545,0.692639,0.646040
1,Pooled,USP,2,42,2.000000,none,A_postSNV,rbf_svm,0.568182,0.565657,0.481068
1,Pooled+BandShift,USP,2,42,2.000000,none,A_postSNV,rbf_svm,0.545455,0.544012,0.453755
1,Pooled,SNV,2,42,2.000000,SNV,A2_noPostSNV,svm,0.681818,0.675058,0.618576
1,Pooled+BandShift,SNV,2,42,2.000000,SNV,A2_noPostSNV,svm,0.613636,0.629448,0.537701
1,Pooled,SNV,2,42,2.000000,SNV,A2_noPostSNV,rbf_svm,0.659091,0.637103,0.592089
1,Pooled+BandShift,SNV,2,42,2.000000,SNV,A2_noPostSNV,rbf_svm,0.659091,0.644108,0.592089
1,Pooled,SG1,2,42,2.000000,SG1,A2_noPostSNV,svm,0.750000,0.739560,0.701050
1,Pooled+BandShift,SG1,2,42,2.000000,SG1,A2_noPostSNV,svm,0.250000,0.242126,0.103150
1,Pooled,SG1,2,42,2.000000,SG1,A2_noPostSNV,rbf_svm,0.659091,0.647619,0.592341
1,Pooled+BandShift,SG1,2,42,2.000000,SG1,A2_noPostSNV,rbf_svm,0.295455,0.247262,0.161647
1,Pooled,EMSC,2,42,2.000000,EMSC,A2_noPostSNV,svm,0.704545,0.716901,0.646259
1,Pooled+BandShift,EMSC,2,42,2.000000,EMSC,A2_noPostSNV,svm,0.636364,0.633129,0.564895
1,Pooled,EMSC,2,42,2.000000,EMSC,A2_noPostSNV,rbf_svm,0.613636,0.612192,0.536268
1,Pooled+BandShift,EMSC,2,42,2.000000,EMSC,A2_noPostSNV,rbf_svm,0.568182,0.558123,0.483313
1,Pooled,Detrend,2,42,2.000000,Detrend,A2_noPostSNV,svm,0.704545,0.698335,0.646695
1,Pooled+BandShift,Detrend,2,42,2.000000,Detrend,A2_noPostSNV,svm,0.681818,0.679699,0.619518
1,Pooled,Detrend,2,42,2.000000,Detrend,A2_noPostSNV,rbf_svm,0.681818,0.660937,0.619518
1,Pooled+BandShift,Detrend,2,42,2.000000,Detrend,A2_noPostSNV,rbf_svm,0.659091,0.646845,0.592089
1,Pooled,USP,3,42,3.000000,none,A_postSNV,svm,0.795455,0.785613,0.754190
1,Pooled+BandShift,USP,3,42,3.000000,none,A_postSNV,svm,0.704545,0.692361,0.644500
1,Pooled,USP,3,42,3.000000,none,A_postSNV,rbf_svm,0.590909,0.589055,0.505926
1,Pooled+BandShift,USP,3,42,3.000000,none,A_postSNV,rbf_svm,0.590909,0.588526,0.505926
1,Pooled,SNV,3,42,3.000000,SNV,A2_noPostSNV,svm,0.681818,0.674773,0.617154
1,Pooled+BandShift,SNV,3,42,3.000000,SNV,A2_noPostSNV,svm,0.568182,0.542920,0.479452
1,Pooled,SNV,3,42,3.000000,SNV,A2_noPostSNV,rbf_svm,0.704545,0.693756,0.644720
1,Pooled+BandShift,SNV,3,42,3.000000,SNV,A2_noPostSNV,rbf_svm,0.636364,0.623671,0.563004
1,Pooled,SG1,3,42,3.000000,SG1,A2_noPostSNV,svm,0.727273,0.726834,0.672457
1,Pooled+BandShift,SG1,3,42,3.000000,SG1,A2_noPostSNV,svm,0.431818,0.380379,0.319728
1,Pooled,SG1,3,42,3.000000,SG1,A2_noPostSNV,rbf_svm,0.636364,0.634620,0.562733
1,Pooled+BandShift,SG1,3,42,3.000000,SG1,A2_noPostSNV,rbf_svm,0.431818,0.378574,0.321407
1,Pooled,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,svm,0.681818,0.687775,0.617629
1,Pooled+BandShift,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,svm,0.545455,0.536893,0.455108
1,Pooled,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,rbf_svm,0.613636,0.594912,0.534536
1,Pooled+BandShift,EMSC,3,42,3.000000,EMSC,A2_noPostSNV,rbf_svm,0.545455,0.538034,0.453076
1,Pooled,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,svm,0.795455,0.784987,0.754495
1,Pooled+BandShift,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,svm,0.659091,0.650737,0.589552
1,Pooled,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,rbf_svm,0.659091,0.643849,0.590062
1,Pooled+BandShift,Detrend,3,42,3.000000,Detrend,A2_noPostSNV,rbf_svm,0.636364,0.624140,0.563817
1,Pooled,USP,4,42,4.000000,none,A_postSNV,svm,0.727273,0.746281,0.673469
1,Pooled+BandShift,USP,4,42,4.000000,none,A_postSNV,svm,0.636364,0.660952,0.563546
1,Pooled,USP,4,42,4.000000,none,A_postSNV,rbf_svm,0.500000,0.540361,0.399504
1,Pooled+BandShift,USP,4,42,4.000000,none,A_postSNV,rbf_svm,0.500000,0.547382,0.399131
1,Pooled,SNV,4,42,4.000000,SNV,A2_noPostSNV,svm,0.681818,0.706774,0.619048
1,Pooled+BandShift,SNV,4,42,4.000000,SNV,A2_noPostSNV,svm,0.659091,0.668396,0.588529
1,Pooled,SNV,4,42,4.000000,SNV,A2_noPostSNV,rbf_svm,0.613636,0.618400,0.537986
1,Pooled+BandShift,SNV,4,42,4.000000,SNV,A2_noPostSNV,rbf_svm,0.613636,0.632255,0.537415
1,Pooled,SG1,4,42,4.000000,SG1,A2_noPostSNV,svm,0.636364,0.655894,0.565432
1,Pooled+BandShift,SG1,4,42,4.000000,SG1,A2_noPostSNV,svm,0.500000,0.443672,0.397635
1,Pooled,SG1,4,42,4.000000,SG1,A2_noPostSNV,rbf_svm,0.613636,0.633038,0.537701
1,Pooled+BandShift,SG1,4,42,4.000000,SG1,A2_noPostSNV,rbf_svm,0.363636,0.372494,0.240444
