condition,method,component,importance
Pooled,USP,PC1,0.028508
Pooled,USP,PC2,0.032121
Pooled,USP,PC3,0.120305
Pooled,USP,PC4,0.045730
Pooled,USP,PC5,0.062626
Pooled,USP,PC6,0.034056
Pooled,USP,PC7,0.111043
Pooled,USP,PC8,0.096520
Pooled,USP,PC9,0.032705
Pooled,USP,PC10,0.032354
Pooled,USP,PC11,0.031635
Pooled,USP,PC12,0.047698
Pooled,USP,PC13,0.043076
Pooled,USP,PC14,0.041950
Pooled,USP,PC15,0.038755
Pooled,USP,PC16,0.034275
Pooled,USP,PC17,0.047823
Pooled,USP,PC18,0.044223
Pooled,USP,PC19,0.030184
Pooled,USP,PC20,0.044412
Pooled,SNV,PC1,0.032565
Pooled,SNV,PC2,0.049418
Pooled,SNV,PC3,0.129433
Pooled,SNV,PC4,0.038482
Pooled,SNV,PC5,0.048387
Pooled,SNV,PC6,0.095451
Pooled,SNV,PC7,0.079969
Pooled,SNV,PC8,0.041222
Pooled,SNV,PC9,0.071384
Pooled,SNV,PC10,0.073241
Pooled,SNV,PC11,0.040733
Pooled,SNV,PC12,0.031795
Pooled,SNV,PC13,0.037432
Pooled,SNV,PC14,0.039950
Pooled,SNV,PC15,0.034439
Pooled,SNV,PC16,0.026575
Pooled,SNV,PC17,0.036069
Pooled,SNV,PC18,0.032489
Pooled,SNV,PC19,0.029468
Pooled,SNV,PC20,0.031498
Pooled,SG1,PC1,0.143626
Pooled,SG1,PC2,0.062090
Pooled,SG1,PC3,0.055723
Pooled,SG1,PC4,0.075028
Pooled,SG1,PC5,0.095635
Pooled,SG1,PC6,0.082688
Pooled,SG1,PC7,0.036098
Pooled,SG1,PC8,0.023261
Pooled,SG1,PC9,0.042137
Pooled,SG1,PC10,0.054703
Pooled,SG1,PC11,0.046315
Pooled,SG1,PC12,0.050873
Pooled,SG1,PC13,0.027390
Pooled,SG1,PC14,0.047336
Pooled,SG1,PC15,0.028857
Pooled,SG1,PC16,0.027238
Pooled,SG1,PC17,0.025103
Pooled,SG1,PC18,0.027231
Pooled,SG1,PC19,0.026549
Pooled,SG1,PC20,0.022120
Pooled,EMSC,PC1,0.029908
Pooled,EMSC,PC2,0.030277
Pooled,EMSC,PC3,0.060703
Pooled,EMSC,PC4,0.078418
Pooled,EMSC,PC5,0.068972
Pooled,EMSC,PC6,0.031927
Pooled,EMSC,PC7,0.071563
Pooled,EMSC,PC8,0.094290
Pooled,EMSC,PC9,0.045056
Pooled,EMSC,PC10,0.069261
Pooled,EMSC,PC11,0.076279
Pooled,EMSC,PC12,0.034571
Pooled,EMSC,PC13,0.044343
Pooled,EMSC,PC14,0.035151
Pooled,EMSC,PC15,0.045607
Pooled,EMSC,PC16,0.027551
Pooled,EMSC,PC17,0.031307
Pooled,EMSC,PC18,0.036862
Pooled,EMSC,PC19,0.046601
Pooled,EMSC,PC20,0.041352
Pooled,Detrend,PC1,0.037849
Pooled,Detrend,PC2,0.077351
Pooled,Detrend,PC3,0.075564
Pooled,Detrend,PC4,0.086524
Pooled,Detrend,PC5,0.034917
Pooled,Detrend,PC6,0.106313
Pooled,Detrend,PC7,0.033900
Pooled,Detrend,PC8,0.087157
Pooled,Detrend,PC9,0.032818
Pooled,Detrend,PC10,0.045842
Pooled,Detrend,PC11,0.067193
Pooled,Detrend,PC12,0.040966
Pooled,Detrend,PC13,0.045190
Pooled,Detrend,PC14,0.033884
Pooled,Detrend,PC15,0.040449
Pooled,Detrend,PC16,0.031154
Pooled,Detrend,PC17,0.027467
Pooled,Detrend,PC18,0.042559
Pooled,Detrend,PC19,0.022591
Pooled,Detrend,PC20,0.030311
