method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
USP,svm,0.010000,scale,42,0,0.974359,0.979243,0.967635
USP,svm,0.100000,scale,42,0,0.974359,0.979243,0.967635
USP,svm,1.000000,scale,42,0,0.974359,0.979243,0.967635
USP,svm,10.000000,scale,42,0,0.974359,0.979243,0.967635
USP,svm,100.000000,scale,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,0.100000,0.001,42,0,0.076923,0.023810,0.000000
USP,rbf_svm,0.100000,0.01,42,0,0.487179,0.339976,0.395349
USP,rbf_svm,0.100000,0.1,42,0,0.897436,0.924081,0.872131
USP,rbf_svm,0.100000,1,42,0,0.358974,0.342157,0.243012
USP,rbf_svm,0.100000,10,42,0,0.076923,0.023810,0.000000
USP,rbf_svm,1.000000,0.001,42,0,0.205128,0.156162,0.107090
USP,rbf_svm,1.000000,0.01,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,1.000000,0.1,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,1.000000,1,42,0,0.897436,0.914571,0.868243
USP,rbf_svm,1.000000,10,42,0,0.461538,0.214901,0.250000
USP,rbf_svm,10.000000,0.001,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,10.000000,0.01,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,10.000000,0.1,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,10.000000,1,42,0,0.897436,0.914571,0.868243
USP,rbf_svm,10.000000,10,42,0,0.538462,0.250397,0.357143
USP,rbf_svm,100.000000,0.001,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,100.000000,0.01,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,100.000000,0.1,42,0,0.974359,0.979243,0.967635
USP,rbf_svm,100.000000,1,42,0,0.897436,0.914571,0.868243
USP,rbf_svm,100.000000,10,42,0,0.538462,0.250397,0.357143
SNV,svm,0.010000,scale,42,0,0.948718,0.930758,0.935162
SNV,svm,0.100000,scale,42,0,0.974359,0.979243,0.967635
SNV,svm,1.000000,scale,42,0,0.974359,0.979243,0.967635
SNV,svm,10.000000,scale,42,0,0.974359,0.979243,0.967635
SNV,svm,100.000000,scale,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,0.100000,0.001,42,0,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.01,42,0,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.1,42,0,0.615385,0.640174,0.547564
SNV,rbf_svm,0.100000,1,42,0,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,10,42,0,0.076923,0.023810,0.000000
SNV,rbf_svm,1.000000,0.001,42,0,0.076923,0.023810,0.000000
SNV,rbf_svm,1.000000,0.01,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,1.000000,0.1,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,1.000000,1,42,0,0.641026,0.490741,0.517241
SNV,rbf_svm,1.000000,10,42,0,0.282051,0.073333,0.000000
SNV,rbf_svm,10.000000,0.001,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,10.000000,0.01,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,10.000000,0.1,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,10.000000,1,42,0,0.666667,0.504372,0.551724
SNV,rbf_svm,10.000000,10,42,0,0.307692,0.102608,0.035714
SNV,rbf_svm,100.000000,0.001,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,100.000000,0.01,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,100.000000,0.1,42,0,0.974359,0.979243,0.967635
SNV,rbf_svm,100.000000,1,42,0,0.666667,0.504372,0.551724
SNV,rbf_svm,100.000000,10,42,0,0.307692,0.102608,0.035714
USP,svm,0.010000,scale,42,1,0.846154,0.823130,0.808980
USP,svm,0.100000,scale,42,1,0.948718,0.928458,0.936066
USP,svm,1.000000,scale,42,1,0.948718,0.952277,0.935377
USP,svm,10.000000,scale,42,1,0.948718,0.952277,0.935377
USP,svm,100.000000,scale,42,1,0.948718,0.952277,0.935377
USP,rbf_svm,0.100000,0.001,42,1,0.076923,0.023810,0.000000
USP,rbf_svm,0.100000,0.01,42,1,0.358974,0.281085,0.270755
USP,rbf_svm,0.100000,0.1,42,1,0.897436,0.866347,0.871816
USP,rbf_svm,0.100000,1,42,1,0.230769,0.272061,0.140338
USP,rbf_svm,0.100000,10,42,1,0.076923,0.023810,0.000000
USP,rbf_svm,1.000000,0.001,42,1,0.230769,0.133700,0.112291
USP,rbf_svm,1.000000,0.01,42,1,0.871795,0.870028,0.841076
USP,rbf_svm,1.000000,0.1,42,1,0.948718,0.935714,0.935802
USP,rbf_svm,1.000000,1,42,1,0.820513,0.839661,0.771548
USP,rbf_svm,1.000000,10,42,1,0.435897,0.365873,0.250000
USP,rbf_svm,10.000000,0.001,42,1,0.871795,0.862229,0.841721
USP,rbf_svm,10.000000,0.01,42,1,0.948718,0.936363,0.935750
USP,rbf_svm,10.000000,0.1,42,1,0.923077,0.930483,0.902662
USP,rbf_svm,10.000000,1,42,1,0.871795,0.867917,0.836547
USP,rbf_svm,10.000000,10,42,1,0.461538,0.383087,0.283465
USP,rbf_svm,100.000000,0.001,42,1,0.948718,0.935714,0.935802
USP,rbf_svm,100.000000,0.01,42,1,0.948718,0.953530,0.935323
USP,rbf_svm,100.000000,0.1,42,1,0.923077,0.930483,0.902662
USP,rbf_svm,100.000000,1,42,1,0.871795,0.867917,0.836547
USP,rbf_svm,100.000000,10,42,1,0.461538,0.383087,0.283465
SNV,svm,0.010000,scale,42,1,0.897436,0.886965,0.873068
SNV,svm,0.100000,scale,42,1,0.897436,0.894901,0.872445
