method,classifier,C,gamma,OA_mean,OA_std,macro_F1_mean,macro_F1_std,kappa_mean
SNV,rbf_svm,0.100000,0.001,0.135628,0.118800,0.056515,0.066561,0.031663
SNV,rbf_svm,0.100000,0.01,0.134575,0.116750,0.055940,0.065750,0.029738
SNV,rbf_svm,0.100000,0.1,0.607260,0.134934,0.641019,0.116320,0.543803
SNV,rbf_svm,0.100000,1,0.131417,0.110832,0.062368,0.080286,0.026136
SNV,rbf_svm,0.100000,10,0.119838,0.086571,0.034130,0.020771,0.000000
SNV,rbf_svm,1.000000,0.001,0.242159,0.089750,0.084551,0.056431,0.022355
SNV,rbf_svm,1.000000,0.01,0.919136,0.039960,0.917153,0.043767,0.898931
SNV,rbf_svm,1.000000,0.1,0.931768,0.040383,0.939481,0.034526,0.913593
SNV,rbf_svm,1.000000,1,0.611471,0.067129,0.530081,0.087550,0.479824
SNV,rbf_svm,1.000000,10,0.271552,0.015651,0.072217,0.007417,0.001464
SNV,rbf_svm,10.000000,0.001,0.917004,0.045029,0.914837,0.049401,0.896449
SNV,rbf_svm,10.000000,0.01,0.942024,0.030901,0.944085,0.032922,0.927516
SNV,rbf_svm,10.000000,0.1,0.939055,0.036734,0.943040,0.033956,0.922686
SNV,rbf_svm,10.000000,1,0.653954,0.076047,0.558512,0.092656,0.537201
SNV,rbf_svm,10.000000,10,0.349285,0.042937,0.141344,0.036427,0.097182
SNV,rbf_svm,100.000000,0.001,0.929609,0.039663,0.932607,0.038463,0.912142
SNV,rbf_svm,100.000000,0.01,0.950391,0.029567,0.952138,0.034587,0.937669
SNV,rbf_svm,100.000000,0.1,0.935870,0.036289,0.940400,0.033757,0.918562
SNV,rbf_svm,100.000000,1,0.653954,0.076047,0.558512,0.092656,0.537201
SNV,rbf_svm,100.000000,10,0.349285,0.042937,0.141344,0.036427,0.097182
SNV,svm,0.010000,scale,0.892146,0.054269,0.879898,0.060037,0.865560
SNV,svm,0.100000,scale,0.931714,0.043193,0.932674,0.044202,0.914970
SNV,svm,1.000000,scale,0.930688,0.040308,0.931491,0.043139,0.913542
SNV,svm,10.000000,scale,0.930742,0.049542,0.931064,0.051334,0.913105
SNV,svm,100.000000,scale,0.930742,0.049542,0.931064,0.051334,0.913105
USP,rbf_svm,0.100000,0.001,0.116680,0.083164,0.047249,0.048408,0.030156
USP,rbf_svm,0.100000,0.01,0.366748,0.064229,0.260607,0.058848,0.266370
USP,rbf_svm,0.100000,0.1,0.874467,0.064453,0.873134,0.060916,0.844539
USP,rbf_svm,0.100000,1,0.351417,0.118222,0.332747,0.134814,0.221103
USP,rbf_svm,0.100000,10,0.121943,0.091374,0.039590,0.040496,0.003532
USP,rbf_svm,1.000000,0.001,0.342807,0.117202,0.242825,0.083594,0.228617
USP,rbf_svm,1.000000,0.01,0.909744,0.036846,0.911536,0.038487,0.887522
USP,rbf_svm,1.000000,0.1,0.947179,0.029237,0.941076,0.035423,0.933577
USP,rbf_svm,1.000000,1,0.858435,0.056362,0.864176,0.052947,0.818383
USP,rbf_svm,1.000000,10,0.452146,0.073311,0.331918,0.100956,0.258878
USP,rbf_svm,10.000000,0.001,0.911822,0.038954,0.913292,0.043300,0.890388
USP,rbf_svm,10.000000,0.01,0.957544,0.023410,0.953142,0.029273,0.946759
USP,rbf_svm,10.000000,0.1,0.949312,0.029296,0.949357,0.032673,0.935985
USP,rbf_svm,10.000000,1,0.879082,0.044368,0.876720,0.047205,0.844855
USP,rbf_svm,10.000000,10,0.497679,0.062926,0.348700,0.083800,0.319953
USP,rbf_svm,100.000000,0.001,0.962726,0.023638,0.958578,0.028823,0.953376
USP,rbf_svm,100.000000,0.01,0.969069,0.025723,0.966856,0.029046,0.961200
USP,rbf_svm,100.000000,0.1,0.949312,0.029296,0.949357,0.032673,0.935985
USP,rbf_svm,100.000000,1,0.879082,0.044368,0.876720,0.047205,0.844855
USP,rbf_svm,100.000000,10,0.497679,0.062926,0.348700,0.083800,0.319953
USP,svm,0.010000,scale,0.882618,0.052695,0.878325,0.057206,0.853738
USP,svm,0.100000,scale,0.956518,0.026455,0.954093,0.029284,0.945717
USP,svm,1.000000,scale,0.969015,0.024623,0.965432,0.030541,0.961198
USP,svm,10.000000,scale,0.971120,0.026075,0.969113,0.029777,0.963789
USP,svm,100.000000,scale,0.971120,0.026075,0.969113,0.029777,0.963789
