condition,seed,fold,method,classifier,OA,macro_F1,kappa
Clear,42,0,A (USP),svm,0.974359,0.979243,0.967635
Clear,42,0,A_log (log+USP),svm,0.974359,0.979243,0.967635
Clear,42,0,A2 (SNV-Pre),svm,0.974359,0.979243,0.967635
Clear,42,1,A (USP),svm,0.948718,0.952277,0.935377
Clear,42,1,A_log (log+USP),svm,0.948718,0.936363,0.935750
Clear,42,1,A2 (SNV-Pre),svm,0.897436,0.894901,0.872445
Clear,42,2,A (USP),svm,0.923077,0.912217,0.904568
Clear,42,2,A_log (log+USP),svm,0.974359,0.972710,0.968033
Clear,42,2,A2 (SNV-Pre),svm,0.948718,0.955514,0.936327
Clear,42,3,A (USP),svm,0.973684,0.978408,0.966957
Clear,42,3,A_log (log+USP),svm,0.973684,0.978408,0.966957
Clear,42,3,A2 (SNV-Pre),svm,0.947368,0.951953,0.934313
Clear,42,4,A (USP),svm,0.973684,0.979243,0.966985
Clear,42,4,A_log (log+USP),svm,1.000000,1.000000,1.000000
Clear,42,4,A2 (SNV-Pre),svm,0.921053,0.932233,0.901893
Clear,43,0,A (USP),svm,0.948718,0.919769,0.935323
Clear,43,0,A_log (log+USP),svm,0.948718,0.944841,0.934564
Clear,43,0,A2 (SNV-Pre),svm,0.794872,0.790079,0.742998
Clear,43,1,A (USP),svm,0.948718,0.955320,0.936275
Clear,43,1,A_log (log+USP),svm,0.974359,0.979243,0.968007
Clear,43,1,A2 (SNV-Pre),svm,0.948718,0.963256,0.935961
Clear,43,2,A (USP),svm,0.974359,0.957672,0.967928
Clear,43,2,A_log (log+USP),svm,1.000000,1.000000,1.000000
Clear,43,2,A2 (SNV-Pre),svm,0.974359,0.973545,0.967742
Clear,43,3,A (USP),svm,0.973684,0.978408,0.966957
Clear,43,3,A_log (log+USP),svm,0.973684,0.978408,0.966957
Clear,43,3,A2 (SNV-Pre),svm,0.921053,0.941938,0.901299
Clear,43,4,A (USP),svm,1.000000,1.000000,1.000000
Clear,43,4,A_log (log+USP),svm,1.000000,1.000000,1.000000
Clear,43,4,A2 (SNV-Pre),svm,0.947368,0.950312,0.933740
Clear,44,0,A (USP),svm,0.948718,0.917092,0.934673
Clear,44,0,A_log (log+USP),svm,0.974359,0.959420,0.967282
Clear,44,0,A2 (SNV-Pre),svm,0.948718,0.938663,0.934837
Clear,44,1,A (USP),svm,1.000000,1.000000,1.000000
Clear,44,1,A_log (log+USP),svm,1.000000,1.000000,1.000000
Clear,44,1,A2 (SNV-Pre),svm,0.974359,0.976912,0.968033
Clear,44,2,A (USP),svm,0.974359,0.979243,0.968007
Clear,44,2,A_log (log+USP),svm,0.974359,0.979243,0.968007
Clear,44,2,A2 (SNV-Pre),svm,0.897436,0.883211,0.872236
Clear,44,3,A (USP),svm,0.947368,0.944851,0.934313
Clear,44,3,A_log (log+USP),svm,0.947368,0.944851,0.934313
Clear,44,3,A2 (SNV-Pre),svm,0.947368,0.944851,0.934313
Clear,44,4,A (USP),svm,1.000000,1.000000,1.000000
Clear,44,4,A_log (log+USP),svm,1.000000,1.000000,1.000000
Clear,44,4,A2 (SNV-Pre),svm,0.921053,0.942857,0.901384
Clear,45,0,A (USP),svm,1.000000,1.000000,1.000000
Clear,45,0,A_log (log+USP),svm,1.000000,1.000000,1.000000
Clear,45,0,A2 (SNV-Pre),svm,0.871795,0.870437,0.841721
Clear,45,1,A (USP),svm,0.948718,0.959482,0.936222
Clear,45,1,A_log (log+USP),svm,0.948718,0.959482,0.936222
Clear,45,1,A2 (SNV-Pre),svm,0.923077,0.935600,0.904801
Clear,45,2,A (USP),svm,0.948718,0.926587,0.935590
Clear,45,2,A_log (log+USP),svm,0.974359,0.973545,0.967742
