dataset,classifier,metric,test,comparison,stat_name,stat_value,df,p_uncorrected,p_corrected,alpha_corrected,significant,delta_pp
Clear,LinearSVM,OA,RM-ANOVA,All methods,F,25.813300,"(2,48)",2.44788e-08,2.44788e-08,0.0500,yes,
Clear,LinearSVM,OA,Bonferroni posthoc,A (USP) vs A_log (log+USP),t,-2.058000,24,0.0505605,0.151681,0.0167,no,-0.720000
Clear,LinearSVM,OA,Bonferroni posthoc,A (USP) vs A2 (SNV-Pre),t,4.622000,24,0.000108512,0.000325537,0.0167,yes,3.830000
Clear,LinearSVM,OA,Bonferroni posthoc,A_log (log+USP) vs A2 (SNV-Pre),t,5.967000,24,3.69411e-06,1.10823e-05,0.0167,yes,4.550000
Clear,LinearSVM,macro_F1,RM-ANOVA,All methods,F,20.305000,"(2,48)",4.07577e-07,4.07577e-07,0.0500,yes,
Clear,LinearSVM,macro_F1,Bonferroni posthoc,A (USP) vs A_log (log+USP),t,-2.175000,24,0.0397144,0.119143,0.0167,no,-1.010000
Clear,LinearSVM,macro_F1,Bonferroni posthoc,A (USP) vs A2 (SNV-Pre),t,3.969000,24,0.000569391,0.00170817,0.0167,yes,3.390000
Clear,LinearSVM,macro_F1,Bonferroni posthoc,A_log (log+USP) vs A2 (SNV-Pre),t,5.566000,24,9.98213e-06,2.99464e-05,0.0167,yes,4.400000
Turbid,LinearSVM,OA,RM-ANOVA,All methods,F,8.209500,"(2,48)",0.000857946,0.000857946,0.0500,yes,
Turbid,LinearSVM,OA,Bonferroni posthoc,A (USP) vs A_log (log+USP),t,3.511000,24,0.00179309,0.00537926,0.0167,yes,0.760000
Turbid,LinearSVM,OA,Bonferroni posthoc,A (USP) vs A2 (SNV-Pre),t,3.954000,24,0.000591111,0.00177333,0.0167,yes,1.170000
Turbid,LinearSVM,OA,Bonferroni posthoc,A_log (log+USP) vs A2 (SNV-Pre),t,1.167000,24,0.254848,0.764543,0.0167,no,0.410000
Turbid,LinearSVM,macro_F1,RM-ANOVA,All methods,F,9.717400,"(2,48)",0.000286128,0.000286128,0.0500,yes,
Turbid,LinearSVM,macro_F1,Bonferroni posthoc,A (USP) vs A_log (log+USP),t,3.647000,24,0.00127901,0.00383704,0.0167,yes,0.800000
Turbid,LinearSVM,macro_F1,Bonferroni posthoc,A (USP) vs A2 (SNV-Pre),t,4.418000,24,0.000182646,0.000547939,0.0167,yes,1.220000
Turbid,LinearSVM,macro_F1,Bonferroni posthoc,A_log (log+USP) vs A2 (SNV-Pre),t,1.261000,24,0.219485,0.658456,0.0167,no,0.420000
Foamy,LinearSVM,OA,RM-ANOVA,All methods,F,23.886800,"(2,48)",6.30811e-08,6.30811e-08,0.0500,yes,
Foamy,LinearSVM,OA,Bonferroni posthoc,A (USP) vs A_log (log+USP),t,0.546000,24,0.590362,1,0.0167,no,0.240000
Foamy,LinearSVM,OA,Bonferroni posthoc,A (USP) vs A2 (SNV-Pre),t,5.295000,24,1.97258e-05,5.91773e-05,0.0167,yes,6.010000
Foamy,LinearSVM,OA,Bonferroni posthoc,A_log (log+USP) vs A2 (SNV-Pre),t,4.835000,24,6.31516e-05,0.000189455,0.0167,yes,5.770000
Foamy,LinearSVM,macro_F1,RM-ANOVA,All methods,F,32.469800,"(2,48)",1.20639e-09,1.20639e-09,0.0500,yes,
Foamy,LinearSVM,macro_F1,Bonferroni posthoc,A (USP) vs A_log (log+USP),t,0.192000,24,0.849172,1,0.0167,no,0.200000
Foamy,LinearSVM,macro_F1,Bonferroni posthoc,A (USP) vs A2 (SNV-Pre),t,7.034000,24,2.84652e-07,8.53955e-07,0.0167,yes,8.520000
Foamy,LinearSVM,macro_F1,Bonferroni posthoc,A_log (log+USP) vs A2 (SNV-Pre),t,6.253000,24,1.83446e-06,5.50337e-06,0.0167,yes,8.320000
