condition,method,component,importance
Turbid,USP,PC1,0.025810
Turbid,USP,PC2,0.060145
Turbid,USP,PC3,0.135917
Turbid,USP,PC4,0.168706
Turbid,USP,PC5,0.100074
Turbid,USP,PC6,0.027167
Turbid,USP,PC7,0.088066
Turbid,USP,PC8,0.047205
Turbid,USP,PC9,0.016762
Turbid,USP,PC10,0.066967
Turbid,USP,PC11,0.023848
Turbid,USP,PC12,0.017403
Turbid,USP,PC13,0.047277
Turbid,USP,PC14,0.030833
Turbid,USP,PC15,0.022569
Turbid,USP,PC16,0.026669
Turbid,USP,PC17,0.030788
Turbid,USP,PC18,0.019532
Turbid,USP,PC19,0.019315
Turbid,USP,PC20,0.024947
Turbid,SNV,PC1,0.147138
Turbid,SNV,PC2,0.114720
Turbid,SNV,PC3,0.100957
Turbid,SNV,PC4,0.113799
Turbid,SNV,PC5,0.150042
Turbid,SNV,PC6,0.049701
Turbid,SNV,PC7,0.023533
Turbid,SNV,PC8,0.044130
Turbid,SNV,PC9,0.044756
Turbid,SNV,PC10,0.021085
Turbid,SNV,PC11,0.035509
Turbid,SNV,PC12,0.026019
Turbid,SNV,PC13,0.024580
Turbid,SNV,PC14,0.019614
Turbid,SNV,PC15,0.019102
Turbid,SNV,PC16,0.010999
Turbid,SNV,PC17,0.013387
Turbid,SNV,PC18,0.011683
Turbid,SNV,PC19,0.014741
Turbid,SNV,PC20,0.014508
Turbid,SG1,PC1,0.094935
Turbid,SG1,PC2,0.177163
Turbid,SG1,PC3,0.145231
Turbid,SG1,PC4,0.126446
Turbid,SG1,PC5,0.072631
Turbid,SG1,PC6,0.024307
Turbid,SG1,PC7,0.053132
Turbid,SG1,PC8,0.026574
Turbid,SG1,PC9,0.016913
Turbid,SG1,PC10,0.028276
Turbid,SG1,PC11,0.024878
Turbid,SG1,PC12,0.054707
Turbid,SG1,PC13,0.038587
Turbid,SG1,PC14,0.022301
Turbid,SG1,PC15,0.029903
Turbid,SG1,PC16,0.011000
Turbid,SG1,PC17,0.016992
Turbid,SG1,PC18,0.010307
Turbid,SG1,PC19,0.013836
Turbid,SG1,PC20,0.011882
Turbid,EMSC,PC1,0.136801
Turbid,EMSC,PC2,0.146068
Turbid,EMSC,PC3,0.154253
Turbid,EMSC,PC4,0.163593
Turbid,EMSC,PC5,0.034114
Turbid,EMSC,PC6,0.016539
Turbid,EMSC,PC7,0.046451
Turbid,EMSC,PC8,0.017618
Turbid,EMSC,PC9,0.037330
Turbid,EMSC,PC10,0.049490
Turbid,EMSC,PC11,0.022326
Turbid,EMSC,PC12,0.020380
Turbid,EMSC,PC13,0.020852
Turbid,EMSC,PC14,0.014938
Turbid,EMSC,PC15,0.021159
Turbid,EMSC,PC16,0.019131
Turbid,EMSC,PC17,0.020657
Turbid,EMSC,PC18,0.022555
Turbid,EMSC,PC19,0.013496
Turbid,EMSC,PC20,0.022247
Turbid,Detrend,PC1,0.080435
Turbid,Detrend,PC2,0.152829
Turbid,Detrend,PC3,0.132894
