dataset,classifier,metric,test,comparison,stat_name,stat_value,df,p_uncorrected,p_corrected,alpha_corrected,significant,delta_pp
Original (Clear water),LinearSVM,OA,RM-ANOVA,All methods,F,43.207,"(4,96)",1.09011e-20,1.09011e-20,0.0500,yes,
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,USP vs SNV,t,4.622,24,0.000108513,0.00108513,0.0050,yes,3.83
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,USP vs SG1,t,9.991,24,5.00051e-10,5.00051e-09,0.0050,yes,11.92
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,USP vs EMSC,t,4.961,24,4.58712e-05,0.000458712,0.0050,yes,5.4
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,USP vs Detrend,t,10.477,24,1.96446e-10,1.96446e-09,0.0050,yes,11.63
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,SNV vs SG1,t,6.292,24,1.66983e-06,1.66983e-05,0.0050,yes,8.09
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,SNV vs EMSC,t,2.463,24,0.0213188,0.213188,0.0050,no,1.57
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,SNV vs Detrend,t,7.254,24,1.70627e-07,1.70627e-06,0.0050,yes,7.8
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,SG1 vs EMSC,t,-4.39,24,0.000196051,0.00196051,0.0050,yes,-6.52
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,SG1 vs Detrend,t,-0.268,24,0.790845,1,0.0050,no,-0.29
Original (Clear water),LinearSVM,OA,Bonferroni posthoc,EMSC vs Detrend,t,5.821,24,5.30162e-06,5.30162e-05,0.0050,yes,6.23
Original (Clear water),LinearSVM,OA,BandShift paired t,USP,t,1.44,24,0.162921,0.814603,0.0100,no,-0.42
Original (Clear water),LinearSVM,OA,BandShift paired t,SNV,t,13.799,24,6.58283e-13,3.29142e-12,0.0100,yes,-24.38
Original (Clear water),LinearSVM,OA,BandShift paired t,SG1,t,37.131,24,1.02279e-22,5.11393e-22,0.0100,yes,-60.0
