condition,method,preprocess,variant,classifier,OA,macro_F1,kappa
Normal,USP,none,A_postSNV,svm,0.833333,0.561111,0.671233
BandShift,USP,none,A_postSNV,svm,0.416667,0.287179,0.142857
Normal,USP,none,A_postSNV,rbf_svm,0.833333,0.561111,0.671233
BandShift,USP,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,SNV,A2_noPostSNV,svm,0.583333,0.386243,0.230769
BandShift,SNV,SNV,A2_noPostSNV,svm,0.666667,0.280702,0.094340
Normal,SNV,SNV,A2_noPostSNV,rbf_svm,0.666667,0.456410,0.421687
BandShift,SNV,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,SG1,A2_noPostSNV,svm,0.500000,0.348485,0.225806
BandShift,SG1,SG1,A2_noPostSNV,svm,0.583333,0.259259,-0.034483
Normal,SG1,SG1,A2_noPostSNV,rbf_svm,0.500000,0.348485,0.225806
BandShift,SG1,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,EMSC,EMSC,A2_noPostSNV,svm,0.833333,0.561111,0.671233
BandShift,EMSC,EMSC,A2_noPostSNV,svm,0.583333,0.594017,0.310345
Normal,EMSC,EMSC,A2_noPostSNV,rbf_svm,0.750000,0.447368,0.320755
BandShift,EMSC,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,Detrend,Detrend,A2_noPostSNV,svm,0.750000,0.496732,0.428571
BandShift,Detrend,Detrend,A2_noPostSNV,svm,0.666667,0.385621,0.238095
Normal,Detrend,Detrend,A2_noPostSNV,rbf_svm,0.666667,0.433333,0.342466
BandShift,Detrend,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
