condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
Normal,USP,0,42,none,A_postSNV,svm,0.833333,0.561111,0.671233
BandShift,USP,0,42,none,A_postSNV,svm,0.416667,0.287179,0.142857
Normal,USP,0,42,none,A_postSNV,rbf_svm,0.833333,0.561111,0.671233
BandShift,USP,0,42,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,0,42,none,A_postSNV,rf,0.750000,0.429630,0.379310
BandShift,USP,0,42,none,A_postSNV,rf,0.750000,0.429630,0.379310
Normal,SNV,0,42,SNV,A2_noPostSNV,svm,0.583333,0.386243,0.230769
BandShift,SNV,0,42,SNV,A2_noPostSNV,svm,0.666667,0.280702,0.094340
Normal,SNV,0,42,SNV,A2_noPostSNV,rbf_svm,0.666667,0.456410,0.421687
BandShift,SNV,0,42,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,0,42,SNV,A2_noPostSNV,rf,0.833333,0.561111,0.671233
BandShift,SNV,0,42,SNV,A2_noPostSNV,rf,0.833333,0.561111,0.671233
Normal,SG1,0,42,SG1,A2_noPostSNV,svm,0.500000,0.348485,0.225806
BandShift,SG1,0,42,SG1,A2_noPostSNV,svm,0.583333,0.259259,-0.034483
Normal,SG1,0,42,SG1,A2_noPostSNV,rbf_svm,0.500000,0.348485,0.225806
BandShift,SG1,0,42,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,0,42,SG1,A2_noPostSNV,rf,0.833333,0.561111,0.671233
BandShift,SG1,0,42,SG1,A2_noPostSNV,rf,0.833333,0.535948,0.619048
Normal,EMSC,0,42,EMSC,A2_noPostSNV,svm,0.833333,0.561111,0.671233
BandShift,EMSC,0,42,EMSC,A2_noPostSNV,svm,0.583333,0.594017,0.310345
Normal,EMSC,0,42,EMSC,A2_noPostSNV,rbf_svm,0.750000,0.447368,0.320755
BandShift,EMSC,0,42,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,0,42,EMSC,A2_noPostSNV,rf,0.833333,0.535948,0.619048
BandShift,EMSC,0,42,EMSC,A2_noPostSNV,rf,0.750000,0.429630,0.379310
Normal,Detrend,0,42,Detrend,A2_noPostSNV,svm,0.750000,0.496732,0.428571
BandShift,Detrend,0,42,Detrend,A2_noPostSNV,svm,0.666667,0.385621,0.238095
Normal,Detrend,0,42,Detrend,A2_noPostSNV,rbf_svm,0.666667,0.433333,0.342466
BandShift,Detrend,0,42,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,0,42,Detrend,A2_noPostSNV,rf,0.833333,0.535948,0.619048
BandShift,Detrend,0,42,Detrend,A2_noPostSNV,rf,0.750000,0.482143,0.470588
Normal,USP,1,43,none,A_postSNV,svm,0.833333,0.847222,0.657143
BandShift,USP,1,43,none,A_postSNV,svm,0.666667,0.433333,0.342466
Normal,USP,1,43,none,A_postSNV,rbf_svm,0.750000,0.790476,0.520000
BandShift,USP,1,43,none,A_postSNV,rbf_svm,0.416667,0.287179,0.142857
Normal,USP,1,43,none,A_postSNV,rf,0.750000,0.447059,0.446154
BandShift,USP,1,43,none,A_postSNV,rf,0.833333,0.535948,0.619048
Normal,SNV,1,43,SNV,A2_noPostSNV,svm,0.750000,0.741176,0.446154
BandShift,SNV,1,43,SNV,A2_noPostSNV,svm,0.166667,0.171717,-0.142857
Normal,SNV,1,43,SNV,A2_noPostSNV,rbf_svm,0.833333,0.561111,0.671233
BandShift,SNV,1,43,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
